Actual files generated - Train: 4000, Validation: 999
Total images after generation: 4999
Newly generated images: 0
         71743757 function calls (58335338 primitive calls) in 469.998 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.000    0.000 tempfile.py:142(rng)
       12    0.000    0.000    0.000    0.000 tempfile.py:153(__next__)
        6    0.000    0.000    0.000    0.000 tempfile.py:229(_get_candidate_names)
        6    0.000    0.000    0.001    0.000 tempfile.py:400(mktemp)
        6    0.000    0.000    0.000    0.000 tempfile.py:76(_exists)
      4/1    0.002    0.001  456.514  456.514 threading.py:1001(run)
      6/1    0.000    0.000  456.515  456.515 threading.py:1018(_bootstrap)
        6    0.000    0.000    0.000    0.000 threading.py:1038(_set_ident)
        6    0.000    0.000    0.000    0.000 threading.py:1042(_set_native_id)
        6    0.000    0.000    0.000    0.000 threading.py:1045(_set_tstate_lock)
      6/1    0.000    0.000  456.514  456.514 threading.py:1058(_bootstrap_inner)
        6    0.000    0.000    0.000    0.000 threading.py:1081(_stop)
        6    0.000    0.000    0.000    0.000 threading.py:1108(_delete)
      6/4    0.000    0.000  678.951  169.738 threading.py:1117(join)
  459/457    0.001    0.000  678.956    1.486 threading.py:1155(_wait_for_tstate_lock)
      453    0.004    0.000    0.009    0.000 threading.py:1222(is_alive)
       16    0.000    0.000    0.000    0.000 threading.py:1236(daemon)
       50    0.000    0.000    0.000    0.000 threading.py:124(RLock)
        6    0.000    0.000    0.000    0.000 threading.py:1356(_make_invoke_excepthook)
       10    0.000    0.000    0.000    0.000 threading.py:1485(current_thread)
       71    0.002    0.000    0.002    0.000 threading.py:277(__init__)
1217/1212    0.001    0.000    0.002    0.000 threading.py:299(__enter__)
     1217    0.003    0.000    0.003    0.000 threading.py:302(__exit__)
      580    0.000    0.000    0.001    0.000 threading.py:308(_release_save)
      580    0.001    0.000    0.003    0.000 threading.py:311(_acquire_restore)
      952    0.003    0.000    0.004    0.000 threading.py:314(_is_owned)
    580/5    1.391    0.002  457.411   91.482 threading.py:323(wait)
      422    0.001    0.000    0.002    0.000 threading.py:394(notify)
      106    0.000    0.000    0.001    0.000 threading.py:424(notify_all)
        2    0.000    0.000    0.000    0.000 threading.py:457(__init__)
       50    0.000    0.000    0.000    0.000 threading.py:468(acquire)
       50    0.000    0.000    0.000    0.000 threading.py:515(release)
        8    0.000    0.000    0.000    0.000 threading.py:588(__init__)
      582    0.000    0.000    0.000    0.000 threading.py:601(is_set)
       56    0.000    0.000    0.002    0.000 threading.py:616(set)
       50    0.000    0.000    0.000    0.000 threading.py:627(clear)
   103/55    0.008    0.000  235.174    4.276 threading.py:637(wait)
        4    0.000    0.000    0.000    0.000 threading.py:839(_newname)
        8    0.000    0.000    0.000    0.000 threading.py:857(_maintain_shutdown_locks)
        6    0.000    0.000    0.000    0.000 threading.py:884(__init__)
      6/3    0.000    0.000    0.000    0.000 threading.py:975(start)
       18    0.000    0.000    0.000    0.000 util.py:189(__init__)
       18    0.000    0.000  456.287   25.349 util.py:208(__call__)
       18    0.000    0.000    0.000    0.000 util.py:44(sub_debug)
       24    0.000    0.000    0.000    0.000 util.py:48(debug)
       54    0.000    0.000    0.000    0.000 utils.py:108(__init__)
       54    0.000    0.000    0.000    0.000 utils.py:112(__format__)
        2    0.000    0.000    0.000    0.000 utils.py:125(__eq__)
        2    0.000    0.000    0.000    0.000 utils.py:139(__getattr__)
        6    0.000    0.000    0.000    0.000 utils.py:152(wrapper_setattr)
        2    0.000    0.000    0.000    0.000 utils.py:156(__init__)
        4    0.000    0.000    0.000    0.000 utils.py:187(disable_on_exception)
      276    0.246    0.001    9.571    0.035 utils.py:194(inner)
        2    0.000    0.000    0.000    0.000 utils.py:213(__init__)
        8    0.000    0.000    0.000    0.000 utils.py:222(__eq__)
        2    0.000    0.000    0.000    0.000 utils.py:252(_is_utf)
        2    0.000    0.000    0.000    0.000 utils.py:266(_supports_unicode)
      108    0.000    0.000    0.001    0.000 utils.py:273(_is_ascii)
        2    0.000    0.000    0.000    0.000 utils.py:282(_screen_shape_wrapper)
        2    0.000    0.000    0.000    0.000 utils.py:297(_screen_shape_windows)
       82    0.000    0.000    0.000    0.000 utils.py:370(_term_move_up)
      162    0.000    0.000    0.014    0.000 utils.py:374(_text_width)
    24676    0.006    0.000    0.009    0.000 utils.py:375(<genexpr>)
      162    0.000    0.000    0.014    0.000 utils.py:378(disp_len)
       54    0.000    0.000    0.005    0.000 utils.py:386(disp_trim)
        2    0.000    0.000    0.000    0.000 weakref.py:369(remove)
        2    0.000    0.000    0.000    0.000 weakref.py:427(__setitem__)
        2    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFC0C398790}
       27    0.014    0.001    0.014    0.001 {built-in method _io.open}
  2573286    0.651    0.000    0.651    0.000 {built-in method _json.encode_basestring_ascii}
       50    0.185    0.004    0.185    0.004 {built-in method _pickle.loads}
        2    0.000    0.000    0.000    0.000 {built-in method _struct.unpack}
        6    0.000    0.000    0.000    0.000 {built-in method _thread._set_sentinel}
      599    0.006    0.000    0.006    0.000 {built-in method _thread.allocate_lock}
        2    0.000    0.000    0.000    0.000 {built-in method _thread.daemon_threads_allowed}
       22    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        6    0.000    0.000    0.000    0.000 {built-in method _thread.get_native_id}
        6    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
        4    0.000    0.000    0.000    0.000 {built-in method _weakref.proxy}
  110/104    0.000    0.000    0.000    0.000 {built-in method _winapi.CloseHandle}
        6    0.000    0.000    0.000    0.000 {built-in method _winapi.ConnectNamedPipe}
      6/4    0.000    0.000    0.000    0.000 {built-in method _winapi.CreateFile}
      6/5    0.000    0.000    0.000    0.000 {built-in method _winapi.CreateNamedPipe}
